"EMP_ID","EMP_FNAME","EMP_LNAME","DATE_JOINING","DATE_SEPERATION","EMAIL","ADDRESS","SSN","IDDEPARTMENT","IS_ACTIVE_STATUS"
1,"Jillian","Gordon",25-08-18,,"juan14@example.net","""435 Dylan Neck Suite 993",329594711,25,"Y"
2,"James","Williams",10-04-18,05-01-23,"henryjennifer@example.net","Kleinhaven, CT 37220""",527613638,16,"N"
3,"Joshua","Carter",15-03-18,,"michael82@example.org","""Unit 4429 Box 5356",724148400,27,"Y"
4,"Joe","Ferguson",10-08-18,,"vsullivan@example.org","DPO AE 27029""",531094042,17,"Y"
5,"Travis","Ramos",15-10-19,,"leah21@example.org","""12795 Solis Landing Apt. 269",857991076,21,"Y"
6,"Lisa","Hayes",10-05-23,,"mprice@example.com","Trevorfurt, IN 02637""",685569160,1,"Y"
7,"Dawn","Hopkins",28-11-19,05-01-22,"jenkinsheather@example.com","""02444 Anderson Street Suite 139",215259434,16,"N"
8,"Dawn","Roberts",01-12-19,,"laurie35@example.net","Leeville, SD 39088""",391666874,14,"Y"
9,"Jessica","Jones",05-01-19,,"larrykrause@example.net","""548 Bonilla Extensions",410402409,26,"Y"
10,"Rachel","Wilson",10-07-19,05-01-22,"jenna85@example.org","West Robertshire, MH 77607""",745100367,20,"N"
11,"Kimberly","Blankenship",05-01-19,,"melissa35@example.org","""641 Tyler Fork Suite 201",281673265,26,"Y"
12,"Keith","Simmons",01-12-18,,"tylerthompson@example.org","Browntown, WY 84829""",899470207,14,"Y"
13,"William","Grant",10-07-19,05-01-22,"seanlyons@example.org","""41829 Andrew Course Apt. 567",804408507,20,"N"
14,"Andrew","Deleon",15-09-18,,"dominiquemcdaniel@example.com","North Kayla, ME 24616""",184426607,27,"Y"
15,"Emily","Rowe",10-04-18,05-01-23,"thompsonsuzanne@example.org","""2191 Little Fall Apt. 951",457794054,16,"N"
16,"Kenneth","Ayers",25-08-18,,"emily66@example.net","New Sarahberg, IA 31150""",719506165,25,"Y"
17,"Daniel","Mills",10-08-18,,"lthompson@example.org","""389 Jeffrey Mountain",481584738,17,"Y"
18,"Tina","Gilbert",15-10-19,,"danjones@example.net","Lindaview, MA 29212""",522524152,21,"Y"
19,"Scott","Holmes",10-05-23,,"tammy41@example.net","""107 Velasquez Corner",105899430,1,"Y"
